a: 0x0,b: 0x0,c: 0x4c3fe0,d: -0x66cf81,t1: 0x0,t2: 0xb30f61,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4955652.0,d: -6768328.0,t1: 0.0,t2: 11723980.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x4b9e04,d: -0x6746c8,t1: 0x0,t2: 0xb2e4cc,t3: 0x0, t4: 0x0, t5: 0x0
a: -467.0,b: 168.0,c: 4914029.0,d: -6798608.0,t1: -299.0,t2: 11712637.0,t3: 3174949936.0, t4: 825556872.0, t5: -3502078463.0
a: -0x1d3,b: 0xa8,c: 0x4afb6d,d: -0x67bd10,t1: -0x12b,t2: 0xb2b87d,t3: 0xbd3de430, t4: 0x3134ff88, t5: -0xd0bd79ff
a: 0.0,b: 0.0,c: 4872221.0,d: -6828632.0,t1: 0.0,t2: 11700853.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x4a581d,d: -0x683258,t1: 0x0,t2: 0xb28a75,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4830229.0,d: -6858399.0,t1: 0.0,t2: 11688628.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x49b415,d: -0x68a69f,t1: 0x0,t2: 0xb25ab4,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4788056.0,d: -6887907.0,t1: 0.0,t2: 11675963.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x490f58,d: -0x6919e3,t1: 0x0,t2: 0xb2293b,t3: 0x0, t4: 0x0, t5: 0x0
a: -105.0,b: -632.0,c: 4745702.0,d: -6917156.0,t1: -737.0,t2: 11662858.0,t3: 726301380.0, t4: -2999283664.0, t5: -8595526346.0
a: -0x69,b: -0x278,c: 0x4869e6,d: -0x698c24,t1: -0x2e1,t2: 0xb1f60a,t3: 0x2b4a7ac4, t4: -0xb2c56fd0, t5: -0x2005552ca
a: 0.0,b: 0.0,c: 4703170.0,d: -6946145.0,t1: 0.0,t2: 11649315.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x47c3c2,d: -0x69fd61,t1: 0x0,t2: 0xb1c123,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 4660461.0,d: -6974873.0,t1: 0.0,t2: 11635334.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x471ced,d: -0x6a6d99,t1: 0x0,t2: 0xb18a86,t3: 0x0, t4: 0x0, t5: 0x0
